,,,,,UM 49 08 Rekomendasi Atas Penghapusbukuan Aset.pdf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusbukuan  ,Alasan Penghapusan ,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Realisasi Pelaksanaan Penghapusbukuan,,,,,,,,
,,,,,,,,,,,,,,,,,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan (Jual Lelang/Hapus Administrasi),Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3,,Cek DAT
23,120507000571,REGION JAWA,TANJUNG EMAS,12302,Web Security,Prinati Lunak,Rp3.600.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp60.000,Ya,,Jual Lelang,31/12/2021,912.345.678,1.003.590.246,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
24,120508000080,REGION JAWA,TANJUNG EMAS,12302,Mobil Toyota Kijang Innova E M/T NR:MHFXW41G590036901 (Toyota Kijang Innova H 9201 GS) ,Kendaraan ,Rp37.036.468,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp17.800.000,Ya,,Jual Lelang,31/12/2021,40.605.000,44.675.500,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
25,120508000082,REGION JAWA,TANJUNG EMAS,12302,Mobil Toyota Fortuner 4x2 G M/T 25 Diesel,Kendaraan ,Rp66.434.200,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp150.400.000,Ya,,Jual Lelang,31/12/2021,157.500.000,173.260.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
26,120508000083,REGION JAWA,TANJUNG EMAS,12302,Mobil Kijang Innova G M/T Gasoline (H 9157 GA),Kendaraan ,Rp42.870.486,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp25.200.000,Ya,,Jual Lelang,31/12/2021,50.300.000,55.340.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
27,120508000085,REGION JAWA,TANJUNG EMAS,12302,Toyota Hilux H 1901 QF,Kendaraan ,Rp31.166.364,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp11.900.000,Ya,,Jual Lelang,31/12/2021,23.888.000,26.286.800,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
28,120508000086,REGION JAWA,TANJUNG EMAS,12302,Toyota Hilux H 1902 QF,Kendaraan ,Rp31.823.545,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp11.900.000,Ya,,Jual Lelang,31/12/2021,20.500.000,22.560.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
29,120508000087,REGION JAWA,TANJUNG EMAS,12302,Toyota Hilux H 1906 QF,Kendaraan ,Rp32.175.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp11.900.000,Ya,,Jual Lelang,31/12/2021,22.500.000,24.760.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
30,120508000109,REGION JAWA,TANJUNG EMAS,12302,Toyota Hilux H 1904 QF,Kendaraan ,Rp31.166.364,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp11.900.000,Ya,,Jual Lelang,31/12/2021,22.500.000,24.760.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
31,120503000006,REGION JAWA,REGION JATIM,12201,Speed Boat Fiberglass Kotabaru,Kapal,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.581.000,Ya,,,31/12/2021,,,https://drive.google.com/file/d/1mmWLVCXeRcygco5m00W1Jxf86FHlIs4/view?usp=drive_link,,Sped Boat Fibreglass
32,120503000016,REGION JAWA,REGION JATIM,12201,Speed Boat (Sampit),Kapal,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp2.112.000,,,,,,,,,Speed Boad
