Surat Persetujuan Penghapusan dari Direksi,,,,,1. Surat Persetujuan Direksi atas Usulan Penghapusbukuan Aset Tahun 2018 .pdf.pdf,,,,,,,,,,,,,,,,,,
,,,,,,#ERROR!,,,,,,,,,,,,,,,,,
NO.,Nomor Aset,Subreg,Cabang,Profit Center ,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusan,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan ,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3
33,120506000766,REGION BALI NUSRA,BENOA,12404,Rumah Dinas Jalan P. Ambon no 1B Benoa,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,tidak,Penundaan penghapusan aset rumah dinas sesuai surat dari Direktur keuangan nomor TR 04.06/1/HOFC2020,,,,,https://drive.google.com/file/d/1l0ALxRpVGjMYoLvtZjc3ymLoLk7k1aC/view?usp=drive_link
34,120506000767,REGION BALI NUSRA,BENOA,12404,Rumah Dinas Jalan P. Ambon no 3 Benoa,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,tidak,Penundaan penghapusan aset rumah dinas sesuai surat dari Direktur keuangan nomor TR 04.06/1/HOFC2020,,,,,https://drive.google.com/file/d/1l0ALxRpVGjMYoLvtZjc3ymLoLk7k1aC/view?usp=drive_link
35,120506000769,REGION BALI NUSRA,BENOA,12404,Rumah Dinas Jalan Debes no 2 Benoa,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Jual Lelang,,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
36,120506000789,REGION BALI NUSRA,BENOA,12404,Rumah Dinas Jalan P. Ambon no 5 Benoa,Jalan dan Bangunan,Rp400.897.136,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,tidak,,,,,,https://drive.google.com/file/d/1l0ALxRpVGjMYoLvtZjc3ymLoLk7k1aC/view?usp=drive_link
37,120508000088,REGION BALI NUSRA,BENOA,12404,Toyota Kijang Innova (DK 81 BU) ,Kendaraan,Rp9.462.500,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp75.000.000,Ya,,Jual Lelang,31/12/2020,,,https://drive.google.com/file/d/1lOBkP2It0AgX2W8YlCmtuebuASzdQbu/view?usp=drive_link
38,120508000089,REGION BALI NUSRA,BENOA,12404,Toyota Kijang Innova (DK 304 PI) ,Kendaraan,Rp39.800.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp83.000.000,ya,,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/11FmRWDOUz67ouTPDFJOZ9W_ozBTGts/view?usp=drive_link
39,120508000114,REGION BALI NUSRA,BENOA,12404,Toyota Kijang Pick Up,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp40.000.000,ya,,Jual Lelang,31/12/2020,,,https://drive.google.com/file/d/1uCNP_ih4jd4tzANUewxx4UHDgiNYYf/view?usp=drive_link
40,120502000634,REGION BALI NUSRA,BIMA,12406,Terminal Penumpang Bima Tahap l  (Terminal Penumpang),Bangunan Fasipel,Rp12.108.376,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp14.700.000,tidak,Tidak laku,,,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
41,120502000634,REGION BALI NUSRA,BIMA,12406,Terminal Penumpang Bima Tahap lI (Terminal Penumpang),Bangunan Fasipel,Rp22.703.206,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp27.000.000,tidak,Tidak laku,,,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
42,120502000634,REGION BALI NUSRA,BIMA,12406,Terminal Penumpang Bima Tahap lII (Terminal Penumpang),Bangunan Fasipel,Rp82.459.688,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp103.600.000,tidak,Tidak laku,,,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
43,120502000634,REGION BALI NUSRA,BIMA,12406,Terminal Penumpang Bima Tahap IV (Terminal Penumpang),Bangunan Fasipel,Rp74.877.338,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp97.600.000,tidak,Tidak laku,,,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
44,120506000642,REGION BALI NUSRA,BIMA,12406,Kantor pelabuhan Kawasan BADAS,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,tidak,Tidak laku,,,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
45,120506000643,REGION BALI NUSRA,BIMA,12406,Rumah dinas Mess Jalan Kepiting No. 01 BADAS,Jalan dan Bangunan,Rp1,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,tidak,Tidak laku,,,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
46,120506000659,REGION BALI NUSRA,BIMA,12406,Rumah dinas T.50 Jalan Usap Sio BADAS,Jalan dan Bangunan,Rp1,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,tidak,Tidak laku,,,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
47,120506000690,REGION BALI NUSRA,BIMA,12406,Rumah dinas T.50 Jalan JI. SoekarnoHatta,Jalan dan Bangunan,Rp1,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
48,120508000110,REGION BALI NUSRA,BIMA,12406,Toyota Kijang LGX 1.8 (EA 1336 S) ,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp48.000.000,,,,,,,
