Surat Persetujuan Penghapusan dari Direksi,,,,,1. Surat Persetujuan Direksi atas Usulan Penghapusbukuan Aset Tahun 2018 .pdf.pdf,,,,,,,,,,,,,,,,,,
,,,,,,#ERROR!,,,,,,,,,,,,,,,,,
NO.,Nomor Aset,Subreg,Cabang,Profit Center ,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusan,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan ,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3
140,120507000181,REGION JATIM,TANJUNG PERAK,12201,9 Unit Kontainer sampah (Break Down),Kendaraan,Rp8,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp22.500.000,,,,,,,
141,120506000342,REGION JAWA,TG TEMBAGA,12211,Rumah dinas Manager Kawasan Jalan Panglima Sudirman no.35 Pasuruan,Jalan dan Bangunan,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
142,120506000376,REGION JAWA,TG TEMBAGA,12211,Rumah dinas Manager SDM dan umum Jalan Cokroaminoto GG Wijayan no. 4 Probolinggo,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
143,120506000377,REGION JAWA,TG TEMBAGA,12211,Rumah dinas Manager SDM dan umum Jalan Cokroaminoto GG Wijayan no. 2 Probolinggo,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
144,120506000378,REGION JAWA,TG TEMBAGA,12211,Rumah dinas Manager operasional dan Teknik Jalan Cokroaminoto 22 Probolinggo,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
145,120506000358,REGION JAWA,TANJUNG WANGI,12213,Bangunan Rumah Dinas No.22 (Rumah Dinas),Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp5.300.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
146,120506000359,REGION JAWA,TANJUNG WANGI,12213,Bangunan Rumah Dinas No. 21 (Rumah Dinas),Jalan dan Bangunan,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp5.300.000,ya,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
147,120506000360,REGION JAWA,TANJUNG WANGI,12213,Bangunan Rumah Dinas No.25 (Rumah Dinas),Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp3.100.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
148,120506000361,REGION JAWA,TANJUNG WANGI,12213,Bangunan Rumah Dinas No. 20  (Rumah DInas T 50),Jalan dan Bangunan,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp3.100.000,ya,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
149,120506000363,REGION JAWA,TANJUNG WANGI,12213,Bangunan Rumah Dinas No. 17 (Demolished) (Rumdin Kary No I7),Jalan dan Bangunan,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
150,120506000364,REGION JAWA,TANJUNG WANGI,12213,Lapangan Tenis (Demolished) ,Bangunan Fasipel,Rp1,600,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
151,120506000365,REGION JAWA,TANJUNG WANGI,12213,Bangunan Rumah Dinas No. 23 (Demolished) (Rumah Dinas T 50),Jalan dan Bangunan,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
152,120506000366,REGION JAWA,TANJUNG WANGI,12213,Bangunan Rumah Dinas No. 26 (Rumah Dinas T 50),Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp3.100.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
153,120506000405,REGION JAWA,TANJUNG WANGI,12213,Bangunan Kantor Eks. Djakarta Lloyd,Jalan dan Bangunan,Rp128.302.074,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp8.000.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
154,120506000406,REGION JAWA,TANJUNG WANGI,12213,Bangunan Mushollah Eks. Djakarta Lloyd,Jalan dan Bangunan,Rp14.382.971,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp4.100.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
155,120506000407,REGION JAWA,TANJUNG WANGI,12213,Bangunan Gudang Kecil Kantor Eks. Djakarta Lloyd,Jalan dan Bangunan,Rp57.132.354,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp3.500.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
156,120506000408,REGION JAWA,TANJUNG WANGI,12213,Bangunan Tempat Parkir Kantor Eks. Djakarta Lloyd,Jalan dan Bangunan,Rp31.962.157,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.700.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
157,120506000409,REGION JAWA,TANJUNG WANGI,12213,Bangunan Kamar Mandi Kantor Eks. Djakarta Lloyd,Jalan dan Bangunan,Rp18.777.766,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp900.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
158,120506000410,REGION JAWA,TANJUNG WANGI,12213,Pagar kantor Eks. Djakarta Lloyd,Emplasmen,Rp43.814.400,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp600.000,,,,,,,
159,120506000417,REGION JAWA,TANJUNG WANGI,12213,Bangunan Aula Barunawati,Jalan dan Bangunan,Rp8.986.959,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp18.000.000,YA,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
160,120502000862,REGION BALI NUSRA,KUPANG,12409,Terminal Penumpang Waingapu (Terminal Penumpang),Bangunan Fasipel,Rp13.583.540,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp373.900.000,Tidak,Penundaan penghapusan aset rumah dinas sesuai surat dari Direktur keuangan nomor TR 04.06/1/HOFC2020,,31/12/2020,,,https://drive.google.com/file/d/1l0ALxRpVGjMYoLvtZjc3ymLoLk7k1aC/view?usp=drive_link
161,120502000904,REGION BALI NUSRA,KUPANG,12409,Terminal Penumpang Ende I (Demolished) (Terminal Penumpang),Bangunan Fasipel,Rp250.344.961,600,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,,31/12/2020,,,https://drive.google.com/file/d/1l0ALxRpVGjMYoLvtZjc3ymLoLk7k1aC/view?usp=drive_link
162,120502005121,REGION BALI NUSRA,KUPANG,12409,Terminal Penumpang Kalabahi (Pembangunan Terminal Penumpang),Bangunan Fasipel,Rp163.167.183,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp304.800.000,Tidak,Penundaan penghapusan aset rumah dinas sesuai surat dari Direktur keuangan nomor TR 04.06/1/HOFC2020,,31/12/2020,,,https://drive.google.com/file/d/1l0ALxRpVGjMYoLvtZjc3ymLoLk7k1aC/view?usp=drive_link
163,120506001000,REGION BALI NUSRA,KUPANG,12409,Rumah dinas Jalan Adisucipto 8 Ende,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Penundaan penghapusan aset rumah dinas sesuai surat dari Direktur keuangan nomor TR 04.06/1/HOFC2020,,31/12/2020,,,https://drive.google.com/file/d/1l0ALxRpVGjMYoLvtZjc3ymLoLk7k1aC/view?usp=drive_link
164,120506001002,REGION BALI NUSRA,KUPANG,12409,Rumah dinas Jalan Pelabuhan IPPI 1 Ende,Jalan dan Bangunan,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
165,120506001002,REGION BALI NUSRA,KUPANG,12409,Rumah dinas Jalan Pelabuhan IPPI 2 Ende,Jalan dan Bangunan,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
166,120506001022,REGION BALI NUSRA,KUPANG,12409,Terminal Penumpang Ende II (Demolished) (Perbaikan terminal Penumpang),Jalan dan Bangunan,Rp206.218.252,600,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
167,120504000260,REGION JAWA,TPKS,12304,Chasis Cumbo TSM 0096,Alat-alat Fasipel,Rp0,60,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
168,120508000141,REGION JAWA,TPKS,12304,Toyota Kijang Innova G (H 9149 ZH)  (Break Down),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.000.000,Ya,,Jual Lelang,31/12/2020,,40.206.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
169,120508000142,REGION JAWA,TPKS,12304,Toyota Kijang Innova G (H 9150 ZH) (Break Down),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.000.000,Ya,,Jual Lelang,31/12/2020,,36.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
170,120508000143,REGION JAWA,TPKS,12304,Toyota Kijang Innova G/MT (H 8490 Y4)  (Break Down),Kendaraan,Rp37.040.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp40.000.000,Ya,,Jual Lelang,31/12/2020,,47.706.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
171,120508000145,REGION JAWA,TPKS,12304,Toyota Kijang Innova (H 8476 KA)  (Break Down) ,Kendaraan,Rp38.580.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp40.000.000,Ya,,Jual Lelang,31/12/2020,,48.606.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
172,120508000146,REGION JAWA,TPKS,12304,Toyota Hilux FU (H 1695 UP)  (Break Down),Kendaraan,Rp28.800.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.000.000,Ya,,Jual Lelang,31/12/2020,,40.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
173,120508000147,REGION JAWA,TPKS,12304,Toyota Pick Up Hilux (H 1926 VP)  (Break Down),Kendaraan,Rp27.424.185,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.000.000,Tidak,Tidak Laku Terjual,,31/12/2020,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
174,120508000148,REGION JAWA,TPKS,12304,Toyota Pick Up Hilux (H 1927 VP)  (Break Down),Kendaraan,Rp27.424.185,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.000.000,Ya,,Jual Lelang,31/12/2020,,36.206.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
175,120508000149,REGION JAWA,TPKS,12304,Toyota Dyna (H 1225 DS)  (Break Down),Kendaraan,Rp61.004.127,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp45.000.000,Ya,,Jual Lelang,31/12/2020,,45.506.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
